anio,sexo,id_municipio,sum
2015,Hombre              ,2,777
2015,Hombre              ,3,1460
2015,Hombre              ,4,159
2015,Hombre              ,5,2093
2015,Hombre              ,6,594
2015,Hombre              ,7,2343
2015,Hombre              ,8,194
2015,Hombre              ,9,80
2015,Hombre              ,10,896
2015,Hombre              ,11,336
2015,Hombre              ,12,1211
2015,Hombre              ,13,361
2015,Hombre              ,14,1346
2015,Hombre              ,15,2440
2015,Hombre              ,16,1567
2015,Hombre              ,17,1496
2015,Mujer               ,2,131
2015,Mujer               ,3,324
2015,Mujer               ,4,41
2015,Mujer               ,5,333
2015,Mujer               ,6,83
2015,Mujer               ,7,306
2015,Mujer               ,8,33
2015,Mujer               ,9,3
2015,Mujer               ,10,196
2015,Mujer               ,11,41
2015,Mujer               ,12,265
2015,Mujer               ,13,80
2015,Mujer               ,14,316
2015,Mujer               ,15,346
2015,Mujer               ,16,298
2015,Mujer               ,17,184
2016,Hombre              ,2,673
2016,Hombre              ,3,1257
2016,Hombre              ,4,198
2016,Hombre              ,5,2033
2016,Hombre              ,6,553
2016,Hombre              ,7,2207
2016,Hombre              ,8,184
2016,Hombre              ,9,99
2016,Hombre              ,10,896
2016,Hombre              ,11,305
2016,Hombre              ,12,1251
2016,Hombre              ,13,244
2016,Hombre              ,14,1185
2016,Hombre              ,15,2345
2016,Hombre              ,16,1394
2016,Hombre              ,17,1317
2016,Mujer               ,2,101
2016,Mujer               ,3,222
2016,Mujer               ,4,28
2016,Mujer               ,5,267
2016,Mujer               ,6,98
2016,Mujer               ,7,259
2016,Mujer               ,8,46
2016,Mujer               ,9,7
2016,Mujer               ,10,163
2016,Mujer               ,11,31
2016,Mujer               ,12,229
2016,Mujer               ,13,60
2016,Mujer               ,14,248
2016,Mujer               ,15,286
2016,Mujer               ,16,233
2016,Mujer               ,17,159
2017,Hombre              ,2,666
2017,Hombre              ,3,1464
2017,Hombre              ,4,222
2017,Hombre              ,5,1929
2017,Hombre              ,6,684
2017,Hombre              ,7,2162
2017,Hombre              ,8,267
2017,Hombre              ,9,91
2017,Hombre              ,10,990
2017,Hombre              ,11,299
2017,Hombre              ,12,1208
2017,Hombre              ,13,312
2017,Hombre              ,14,1262
2017,Hombre              ,15,2299
2017,Hombre              ,16,1484
2017,Hombre              ,17,1383
2017,Mujer               ,2,86
2017,Mujer               ,3,242
2017,Mujer               ,4,45
2017,Mujer               ,5,280
2017,Mujer               ,6,120
2017,Mujer               ,7,266
2017,Mujer               ,8,27
2017,Mujer               ,9,3
2017,Mujer               ,10,159
2017,Mujer               ,11,24
2017,Mujer               ,12,254
2017,Mujer               ,13,45
2017,Mujer               ,14,304
2017,Mujer               ,15,282
2017,Mujer               ,16,229
2017,Mujer               ,17,172
2018,Hombre              ,2,573
2018,Hombre              ,3,1258
2018,Hombre              ,4,263
2018,Hombre              ,5,1925
2018,Hombre              ,6,756
2018,Hombre              ,7,1809
2018,Hombre              ,8,207
2018,Hombre              ,9,91
2018,Hombre              ,10,1114
2018,Hombre              ,11,238
2018,Hombre              ,12,983
2018,Hombre              ,13,362
2018,Hombre              ,14,1219
2018,Hombre              ,15,1892
2018,Hombre              ,16,1244
2018,Hombre              ,17,1156
2018,Mujer               ,2,100
2018,Mujer               ,3,267
2018,Mujer               ,4,46
2018,Mujer               ,5,242
2018,Mujer               ,6,74
2018,Mujer               ,7,210
2018,Mujer               ,8,45
2018,Mujer               ,9,5
2018,Mujer               ,10,161
2018,Mujer               ,11,37
2018,Mujer               ,12,298
2018,Mujer               ,13,74
2018,Mujer               ,14,249
2018,Mujer               ,15,281
2018,Mujer               ,16,203
2018,Mujer               ,17,136
2019,Hombre              ,2,573
2019,Hombre              ,3,1014
2019,Hombre              ,4,290
2019,Hombre              ,5,1796
2019,Hombre              ,6,681
2019,Hombre              ,7,1717
2019,Hombre              ,8,195
2019,Hombre              ,9,96
2019,Hombre              ,10,945
2019,Hombre              ,11,216
2019,Hombre              ,12,932
2019,Hombre              ,13,340
2019,Hombre              ,14,1087
2019,Hombre              ,15,1745
2019,Hombre              ,16,1304
2019,Hombre              ,17,1045
2019,Mujer               ,2,108
2019,Mujer               ,3,204
2019,Mujer               ,4,62
2019,Mujer               ,5,250
2019,Mujer               ,6,107
2019,Mujer               ,7,211
2019,Mujer               ,8,18
2019,Mujer               ,9,3
2019,Mujer               ,10,227
2019,Mujer               ,11,30
2019,Mujer               ,12,214
2019,Mujer               ,13,48
2019,Mujer               ,14,215
2019,Mujer               ,15,259
2019,Mujer               ,16,213
2019,Mujer               ,17,151
